candidate,latitude,longitude,mean_accessibility_gain,coverage_gain,neighbourhoods_improved,mean_distance_reduction_m,population_benefited,directly_reached_population,candidate_population,overall_impact_score,simulation_score,service_type,objective
el saler,39.3519159624178,-0.3173995552550035,3.6926147568694585,1,3,369.2614756869458,3054,2030,2030,60.4,60.4,culture,Reduce average distance
benicalap,39.49300556640789,-0.3910023886392156,0.15048385706826137,0,3,15.048385706826137,71707,56327,44570,60.0,60.0,culture,Reduce average distance
el palmar,39.33513789501845,-0.3515391664915657,3.6840475084365454,1,3,368.40475084365454,2336,759,759,59.9,59.9,culture,Reduce average distance
el perellonet,39.29640631975548,-0.2941560038366502,3.343325765578727,1,3,334.33257655787276,2415,1596,1596,57.1,57.1,culture,Reduce average distance
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.309018902261893,1,2,130.9018902261893,9202,7152,7152,23.8,23.8,culture,Reduce average distance
el saler,39.3519159624178,-0.3173995552550035,3.6926147568694585,1,3,369.2614756869458,3054,2030,2030,60.4,60.4,culture,Prioritise underserved neighbourhoods
benicalap,39.49300556640789,-0.3910023886392156,0.15048385706826137,0,3,15.048385706826137,71707,56327,44570,60.0,60.0,culture,Prioritise underserved neighbourhoods
el palmar,39.33513789501845,-0.3515391664915657,3.6840475084365454,1,3,368.40475084365454,2336,759,759,59.9,59.9,culture,Prioritise underserved neighbourhoods
el perellonet,39.29640631975548,-0.2941560038366502,3.343325765578727,1,3,334.33257655787276,2415,1596,1596,57.1,57.1,culture,Prioritise underserved neighbourhoods
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.309018902261893,1,2,130.9018902261893,9202,7152,7152,23.8,23.8,culture,Prioritise underserved neighbourhoods
malilla,39.44475150674449,-0.3771846256258872,1.5043917957839241,3,12,150.4391795783924,60051,39550,26253,74.8,74.8,culture,Balanced impact
torrefiel,39.49519797034043,-0.37693215054694523,0.4996966335538166,3,6,49.96966335538166,64206,54146,27938,55.3,55.3,culture,Balanced impact
benicalap,39.49300556640789,-0.3910023886392156,0.15048385706826137,0,3,15.048385706826137,71707,56327,44570,40.0,40.0,culture,Balanced impact
el palmar,39.33513789501845,-0.3515391664915657,3.6840475084365454,1,3,368.40475084365454,2336,759,759,33.3,33.3,culture,Balanced impact
el perellonet,39.29640631975548,-0.2941560038366502,3.343325765578727,1,3,334.33257655787276,2415,1596,1596,30.5,30.5,culture,Balanced impact
